Prince of Wales,"{""type"":""Point"",""coordinates"":[-0.391895881746488,51.49900238848]}"
The Scotsman,"{""type"":""Point"",""coordinates"":[-0.394218116587465,51.5020677981332]}"
The Wolf,"{""type"":""Point"",""coordinates"":[-0.374859332383161,51.4961091934867]}"
The Lamb,"{""type"":""Point"",""coordinates"":[-0.375731955850155,51.4971558965127]}"
The Old George,"{""type"":""Point"",""coordinates"":[-0.372090095856806,51.4842491121208]}"
Rose and Crown,"{""type"":""Point"",""coordinates"":[-0.373347827086102,51.4860691645527]}"
The Plough,"{""type"":""Point"",""coordinates"":[-0.365968346690117,51.4951159890099]}"
The Malt Shovel,"{""type"":""Point"",""coordinates"":[-0.485577230140063,51.5297170636703]}"
De Burgh Arms,"{""type"":""Point"",""coordinates"":[-0.473743363576243,51.5101890156026]}"
Brickmakers' Arms,"{""type"":""Point"",""coordinates"":[-0.463413097134982,51.5104931033032]}"
Waters Edge,"{""type"":""Point"",""coordinates"":[-0.483063025322869,51.5199176973763]}"
The Paddington Packet Boat,"{""type"":""Point"",""coordinates"":[-0.480474889157792,51.5207404937621]}"
The Nags Head,"{""type"":""Point"",""coordinates"":[-0.463840785041751,51.517482367731]}"
The Orange Peel (closed),"{""type"":""Point"",""coordinates"":[-0.458571896405805,51.5256936151067]}"
Prince Albert,"{""type"":""Point"",""coordinates"":[-0.457633875586127,51.5256894792533]}"
The St.James in Cowley,"{""type"":""Point"",""coordinates"":[-0.481789483744573,51.5271596956003]}"
The Crown,"{""type"":""Point"",""coordinates"":[-0.481332780254126,51.5305357152413]}"
Militia Canteen,"{""type"":""Point"",""coordinates"":[-0.478335191982548,51.535956193049]}"
The Hub,"{""type"":""Point"",""coordinates"":[-0.474151558041347,51.5334069987211]}"
The Load of Hay,"{""type"":""Point"",""coordinates"":[-0.477055811354905,51.5362064109617]}"
The Red Lion,"{""type"":""Point"",""coordinates"":[-0.46142880850389,51.534822707674]}"
The Fig Tree,"{""type"":""Point"",""coordinates"":[-0.480290105703849,51.5456092041116]}"
The Metropolitan,"{""type"":""Point"",""coordinates"":[-0.480015311058437,51.545459596163]}"
Queen's Head,"{""type"":""Point"",""coordinates"":[-0.479955303597458,51.5459241166215]}"
The Three Tuns,"{""type"":""Point"",""coordinates"":[-0.478590583017823,51.5455131154185]}"
The Crown and Sceptre,"{""type"":""Point"",""coordinates"":[-0.480468960276917,51.5475178633944]}"
The Gardeners Arms,"{""type"":""Point"",""coordinates"":[-0.471624327652533,51.5476169085927]}"
Vine Inn,"{""type"":""Point"",""coordinates"":[-0.459949822220116,51.5354770984596]}"
The Prince of Wales,"{""type"":""Point"",""coordinates"":[-0.456452680819039,51.534181495042]}"
The Turk's Head,"{""type"":""Point"",""coordinates"":[-0.455456898326592,51.5320797630229]}"
Coach & Horses,"{""type"":""Point"",""coordinates"":[-0.443409502219737,51.564172916125]}"
The Tichenham Inn,"{""type"":""Point"",""coordinates"":[-0.4448381828476,51.5644221970981]}"
The Old Fox,"{""type"":""Point"",""coordinates"":[-0.442833053301917,51.5651751692297]}"
Soldiers Return,"{""type"":""Point"",""coordinates"":[-0.441024744634985,51.5681280800546]}"
Breakspear Arms,"{""type"":""Point"",""coordinates"":[-0.44773390216596,51.5802099991977]}"
The Ram,"{""type"":""Point"",""coordinates"":[-0.437118959611161,51.5148259787651]}"
The Old Crown,"{""type"":""Point"",""coordinates"":[-0.419354235878527,51.5047932040142]}"
Botwell Inn,"{""type"":""Point"",""coordinates"":[-0.416686419147749,51.508221481671]}"
Hambrough Tavern,"{""type"":""Point"",""coordinates"":[-0.389960910624495,51.5129057735424]}"
The Red Lion,"{""type"":""Point"",""coordinates"":[-0.371387343810039,51.5105344756226]}"
The Plough,"{""type"":""Point"",""coordinates"":[-0.372922205304486,51.5135020029098]}"
The Willow Tree,"{""type"":""Point"",""coordinates"":[-0.393205894925319,51.5264518671905]}"
The White Hart,"{""type"":""Point"",""coordinates"":[-0.390265349674283,51.5367797612909]}"
The Civil Engineer Pub,"{""type"":""Point"",""coordinates"":[-0.376007828473908,51.5324331039808]}"
The Crown,"{""type"":""Point"",""coordinates"":[-0.37058631607119,51.5446613808404]}"
The Middlesex Arms,"{""type"":""Point"",""coordinates"":[-0.397399410334646,51.5572991697547]}"
The Bell,"{""type"":""Point"",""coordinates"":[-0.413370737434064,51.5621377963448]}"
Black Bull,"{""type"":""Point"",""coordinates"":[-0.402792625805915,51.562705403052]}"
Waters Edge,"{""type"":""Point"",""coordinates"":[-0.432776503527728,51.5910705667061]}"
J.J. Moons,"{""type"":""Point"",""coordinates"":[-0.413324653859989,51.5733165680574]}"
The Ascott,"{""type"":""Point"",""coordinates"":[-0.399894481036288,51.5789397856442]}"
The Case Is Altered,"{""type"":""Point"",""coordinates"":[-0.40361539277464,51.5888433731933]}"
Venue 5,"{""type"":""Point"",""coordinates"":[-0.389615777892336,51.5690615110994]}"
Harvester,"{""type"":""Point"",""coordinates"":[-0.366187805114027,51.548812081677]}"
The Horseshoe Bar,"{""type"":""Point"",""coordinates"":[-0.372731133643554,51.5619669656664]}"
Hennessys Bar,"{""type"":""Point"",""coordinates"":[-0.358143122250152,51.5604008110272]}"
The Shawl,"{""type"":""Point"",""coordinates"":[-0.35602022357072,51.562877682907]}"
Pinner Arms,"{""type"":""Point"",""coordinates"":[-0.381354601044987,51.5861382907368]}"
The Shaftesbury Free House,"{""type"":""Point"",""coordinates"":[-0.354526774410872,51.5721096997407]}"
The Misty Moon,"{""type"":""Point"",""coordinates"":[-0.426282043349657,51.6121096049513]}"
Oddfellows Arms,"{""type"":""Point"",""coordinates"":[-0.384656987692468,51.5956697725336]}"
Beer Asylum,"{""type"":""Point"",""coordinates"":[-0.382698929867672,51.5943521099642]}"
Queen's Head,"{""type"":""Point"",""coordinates"":[-0.380769079142798,51.5942598074182]}"
The Moon and Sixpence,"{""type"":""Point"",""coordinates"":[-0.37270759778311,51.6083196087082]}"
Letchford Arms,"{""type"":""Point"",""coordinates"":[-0.35880221617411,51.6052932643807]}"
The Grapevine,"{""type"":""Point"",""coordinates"":[-0.392606179641641,51.6168643090145]}"
The Shy Horse,"{""type"":""Point"",""coordinates"":[-0.319805181880612,51.3371540998484]}"
Lucky Rover,"{""type"":""Point"",""coordinates"":[-0.306738647083923,51.3680365784046]}"
Chessington Oak,"{""type"":""Point"",""coordinates"":[-0.296608974445606,51.3639304861311]}"
William Bourne,"{""type"":""Point"",""coordinates"":[-0.288964760535391,51.3624248846767]}"
The Saucy Kettle,"{""type"":""Point"",""coordinates"":[-0.30896700797771,51.3909808079105]}"
The Lamb,"{""type"":""Point"",""coordinates"":[-0.311491363757614,51.3921325016711]}"
The Black Lion,"{""type"":""Point"",""coordinates"":[-0.310520554430066,51.3920252147687]}"
King's Arms,"{""type"":""Point"",""coordinates"":[-0.337514749054801,51.4064129786606]}"
Fox & Hounds,"{""type"":""Point"",""coordinates"":[-0.312197978560103,51.3955356753254]}"
Gordon Bennett!,"{""type"":""Point"",""coordinates"":[-0.308118010202689,51.3947559637003]}"
The Antelope,"{""type"":""Point"",""coordinates"":[-0.307735597386239,51.3951522949492]}"
The Ram,"{""type"":""Point"",""coordinates"":[-0.307698586796534,51.4081202016798]}"
The Gazebo,"{""type"":""Point"",""coordinates"":[-0.308289588421956,51.4100222959255]}"
The Bishop,"{""type"":""Point"",""coordinates"":[-0.308041922898124,51.410307888998]}"
Old King's Head,"{""type"":""Point"",""coordinates"":[-0.311978609967721,51.410899689094]}"
The Cap In Hand,"{""type"":""Point"",""coordinates"":[-0.304220579511008,51.3754890945268]}"
The Maypole,"{""type"":""Point"",""coordinates"":[-0.300929331973051,51.3825844958795]}"
The Duke of York,"{""type"":""Point"",""coordinates"":[-0.306718255326974,51.3920090712631]}"
The Royal Oak,"{""type"":""Point"",""coordinates"":[-0.294864985153017,51.3852122054834]}"
